name,year,house,link
Zach Schmid,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/schmid_zach_qig0
John Stivers,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/stivers_john_ay4t
Carter Hartmann,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/hartmann_carter_1nhp
Dan Werner,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/werner_dan_oaaq
Stone Hart,Sr,Pforzheimer,http://www.gocrimson.com/sports/fball/2017-18/bios/hart_stone_xitq
Sean McKeogh,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/mckeogh_sean_w2du
Tristan Tahmaseb,Sr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/tahmaseb_tristan_kje7
Nasir Darnell,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/darnell_nas_kfpi
Griffin Burke,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/burke_griffin_wxjq
Kelvin Apari,So,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/apari_kelvin_ibuf
Doug Henze,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/henze_douglas_kh9o
Justin Mitchell,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/mitchell_justin_tgty
Bobby Gilmore,Jr,Mather,http://www.gocrimson.com/sports/fball/2017-18/bios/gilmore_bobby_bjd2
DJ Bailey,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/bailey_dj_i58q
